Student_id,Course_id,Grades,Marks
chad.welch@myscu.edu,DATA212,F,11
chad.welch@myscu.edu,DATA213,F,49
chad.welch@myscu.edu,DATA208,F,50
jeremy.whitehead@myscu.edu,DATA218,F,56
jeremy.whitehead@myscu.edu,DATA206,F,28
michele.jones@myscu.edu,DATA219,C,78
michele.jones@myscu.edu,DATA218,F,0
michele.jones@myscu.edu,DATA211,F,36
john.caldwell@myscu.edu,DATA219,B,86
jason.anderson@myscu.edu,DATA219,F,42
jason.anderson@myscu.edu,DATA215,F,58
jason.anderson@myscu.edu,DATA206,F,42
jason.anderson@myscu.edu,DATA207,A,96
selena.duncan@myscu.edu,DATA218,C,72
thomas.mueller@myscu.edu,DATA204,F,57
thomas.mueller@myscu.edu,DATA215,F,41
thomas.mueller@myscu.edu,DATA207,C,72
lindsey.lee@myscu.edu,DATA215,F,23
lindsey.lee@myscu.edu,DATA207,F,21
lindsey.lee@myscu.edu,DATA213,C,75
collin.jordan@myscu.edu,DATA202,A,98
collin.jordan@myscu.edu,DATA203,F,54
collin.jordan@myscu.edu,DATA204,F,39
rodney.owens@myscu.edu,DATA202,F,21
rodney.owens@myscu.edu,DATA213,F,50
jessica.nunez@myscu.edu,DATA215,F,5
tracey.garcia@myscu.edu,DATA214,F,30
richard.morgan@myscu.edu,DATA202,B,85
richard.morgan@myscu.edu,DATA203,F,22
michelle.wright@myscu.edu,DATA216,F,1
michelle.wright@myscu.edu,DATA214,B,88
michelle.wright@myscu.edu,DATA204,F,18
michelle.wright@myscu.edu,DATA207,F,58
michelle.wright@myscu.edu,DATA206,F,47
james.west@myscu.edu,DATA219,F,45
james.west@myscu.edu,DATA211,D,66
robert.ramirez@myscu.edu,DATA202,F,23
john.leblanc@myscu.edu,DATA208,F,9
scott.callahan@myscu.edu,DATA208,F,32
scott.callahan@myscu.edu,DATA218,F,59
andrea.williams@myscu.edu,DATA208,F,3
andrea.williams@myscu.edu,DATA203,A,98
andrea.williams@myscu.edu,DATA214,D,68
yvette.huff@myscu.edu,DATA209,D,60
yvette.huff@myscu.edu,DATA202,B,88
tanya.house@myscu.edu,DATA219,D,67
tanya.house@myscu.edu,DATA207,D,65
tanya.house@myscu.edu,DATA203,B,82
melinda.martin@myscu.edu,DATA216,C,70
todd.lewis@myscu.edu,DATA207,C,74
todd.lewis@myscu.edu,DATA219,A,95
nicholas.galloway@myscu.edu,DATA208,C,70
nicholas.galloway@myscu.edu,DATA205,A,98
joseph.bowers@myscu.edu,DATA207,C,70
spencer.henderson@myscu.edu,DATA218,D,64
spencer.henderson@myscu.edu,DATA206,B,82
spencer.henderson@myscu.edu,DATA213,A,93
susan.cowan@myscu.edu,DATA206,A,93
angela.higgins@myscu.edu,DATA211,A,96
eric.phillips@myscu.edu,DATA209,A,91
eric.phillips@myscu.edu,DATA218,D,60
eric.phillips@myscu.edu,DATA207,B,83
eric.phillips@myscu.edu,DATA208,A,96
tanya.riley@myscu.edu,DATA206,B,87
tanya.riley@myscu.edu,DATA211,D,66
tanya.riley@myscu.edu,DATA219,D,67
tanya.riley@myscu.edu,DATA214,A,92
amy.adkins@myscu.edu,DATA205,C,73
amy.adkins@myscu.edu,DATA203,B,83
amy.adkins@myscu.edu,DATA218,B,81
brian.silva@myscu.edu,DATA216,A,95
brian.silva@myscu.edu,DATA206,A,95
brian.silva@myscu.edu,DATA205,D,65
wesley.farrell@myscu.edu,DATA213,A,97
wesley.farrell@myscu.edu,DATA207,B,80
eric.yu@myscu.edu,DATA208,A,96
christopher.lopez@myscu.edu,DATA208,B,89
christopher.lopez@myscu.edu,DATA206,A,90
brooke.leonard@myscu.edu,DATA219,C,70
brooke.leonard@myscu.edu,DATA206,D,66
joe.wilson@myscu.edu,DATA213,B,84
joe.wilson@myscu.edu,DATA209,A,95
pamela.sanchez@myscu.edu,DATA206,A,93
pamela.sanchez@myscu.edu,DATA214,D,63
pamela.sanchez@myscu.edu,DATA207,B,81
brooke.harvey@myscu.edu,DATA219,C,75
brooke.harvey@myscu.edu,DATA204,A,90
brooke.harvey@myscu.edu,DATA203,A,98
brooke.harvey@myscu.edu,DATA206,C,73
robert.silva@myscu.edu,DATA204,D,64
robert.silva@myscu.edu,DATA209,A,95
robert.silva@myscu.edu,DATA213,B,84
alexandra.donovan@myscu.edu,DATA209,A,98
alexandra.donovan@myscu.edu,DATA202,D,69
james.moran@myscu.edu,DATA206,A,92
james.moran@myscu.edu,DATA215,A,97
john.foster@myscu.edu,DATA211,A,90
john.foster@myscu.edu,DATA205,A,92
leslie.walton@myscu.edu,DATA205,C,79
leslie.walton@myscu.edu,DATA213,D,63
leslie.walton@myscu.edu,DATA203,D,66
leslie.walton@myscu.edu,DATA202,A,92
charles.ellis@myscu.edu,DATA206,C,70
yolanda.ferrell@myscu.edu,DATA206,A,90
charles.lewis@myscu.edu,DATA214,C,70
charles.lewis@myscu.edu,DATA213,D,60
joseph.mahoney@myscu.edu,DATA218,D,63
nicole.suarez@myscu.edu,DATA216,C,71
nicole.suarez@myscu.edu,DATA207,A,95
nicole.suarez@myscu.edu,DATA205,C,73
nicole.suarez@myscu.edu,DATA208,A,99
mike.moore@myscu.edu,DATA205,C,78
mike.moore@myscu.edu,DATA216,D,68
mike.moore@myscu.edu,DATA214,C,74
martha.warner@myscu.edu,DATA203,D,68
martha.warner@myscu.edu,DATA219,D,69
cheryl.archer@myscu.edu,DATA209,D,63
cheryl.archer@myscu.edu,DATA218,C,76
cheryl.archer@myscu.edu,DATA206,D,65
cheryl.archer@myscu.edu,DATA214,C,77
cheryl.archer@myscu.edu,DATA213,C,77
destiny.smith@myscu.edu,DATA207,A,91
destiny.smith@myscu.edu,DATA219,C,77
lisa.evans@myscu.edu,DATA206,C,73
lisa.evans@myscu.edu,DATA208,D,68
lisa.evans@myscu.edu,DATA219,D,67
elizabeth.mcmillan@myscu.edu,DATA219,D,64
elizabeth.mcmillan@myscu.edu,DATA206,B,86
elizabeth.mcmillan@myscu.edu,DATA212,A,96
dennis.wilson@myscu.edu,DATA212,C,72
daniel.tran@myscu.edu,DATA205,D,68
daniel.tran@myscu.edu,DATA202,A,100
daniel.tran@myscu.edu,DATA218,D,60
daniel.tran@myscu.edu,DATA203,D,68
joseph.jacobs@myscu.edu,DATA215,D,62
jennifer.harris@myscu.edu,DATA211,C,73
cynthia.baker@myscu.edu,DATA207,C,77
tracy.whitehead@myscu.edu,DATA212,D,69
tracy.whitehead@myscu.edu,DATA215,C,74
tracy.whitehead@myscu.edu,DATA204,D,68
meghan.davis@myscu.edu,DATA215,B,88
meghan.davis@myscu.edu,DATA205,A,91
meghan.davis@myscu.edu,DATA207,D,68
meghan.davis@myscu.edu,DATA204,D,66
rodney.hill@myscu.edu,DATA208,C,75
adam.wise@myscu.edu,DATA218,C,72
adam.wise@myscu.edu,DATA219,D,62
adam.wise@myscu.edu,DATA202,A,92
adam.wise@myscu.edu,DATA207,D,65
dana.green@myscu.edu,DATA214,B,86
dana.green@myscu.edu,DATA202,D,63
dana.green@myscu.edu,DATA216,C,76
joyce.arnold@myscu.edu,DATA202,C,72
joyce.arnold@myscu.edu,DATA208,D,60
joyce.arnold@myscu.edu,DATA218,D,63
ronald.smith@myscu.edu,DATA204,C,74
ronald.smith@myscu.edu,DATA205,B,88
ronald.smith@myscu.edu,DATA213,B,89
charles.ware@myscu.edu,DATA204,B,82
charles.ware@myscu.edu,DATA206,B,85
charles.ware@myscu.edu,DATA207,A,97
rebecca.gardner@myscu.edu,DATA208,D,66
mary.aguilar@myscu.edu,DATA219,A,99
mary.aguilar@myscu.edu,DATA204,A,94
mary.aguilar@myscu.edu,DATA214,C,74
mary.aguilar@myscu.edu,DATA202,D,68
mary.aguilar@myscu.edu,DATA213,D,64
earl.anderson@myscu.edu,DATA202,D,61
earl.anderson@myscu.edu,DATA214,A,98
earl.anderson@myscu.edu,DATA205,D,65
kyle.nolan@myscu.edu,DATA208,B,86
laura.valencia@myscu.edu,DATA203,C,79
rachel.clark@myscu.edu,DATA212,B,84
kimberly.henson@myscu.edu,DATA212,D,62
eric.spears@myscu.edu,DATA202,A,97
michelle.cherry@myscu.edu,DATA206,A,93
michelle.cherry@myscu.edu,DATA205,C,73
michelle.cherry@myscu.edu,DATA218,D,67
lisa.keith@myscu.edu,DATA208,D,61
angel.doyle@myscu.edu,DATA215,C,76
martin.galvan@myscu.edu,DATA214,C,75
martin.galvan@myscu.edu,DATA215,A,94
lisa.adams@myscu.edu,DATA218,D,64
lisa.adams@myscu.edu,DATA211,B,84
kristin.rodriguez@myscu.edu,DATA208,C,70
kristin.rodriguez@myscu.edu,DATA204,A,96
kristin.rodriguez@myscu.edu,DATA211,D,65
monica.garrison@myscu.edu,DATA216,D,67
monica.garrison@myscu.edu,DATA203,B,86
monica.garrison@myscu.edu,DATA209,A,91
jeffrey.velasquez@myscu.edu,DATA218,D,60
jeffrey.velasquez@myscu.edu,DATA208,A,92
jeffrey.velasquez@myscu.edu,DATA205,D,63
steven.torres@myscu.edu,DATA213,B,83
laura.perez@myscu.edu,DATA206,B,85
laura.perez@myscu.edu,DATA204,A,95
laura.perez@myscu.edu,DATA218,B,83
laura.perez@myscu.edu,DATA215,B,85
andrew.lee@myscu.edu,DATA208,B,89
andrew.lee@myscu.edu,DATA215,D,62
andrew.lee@myscu.edu,DATA216,B,84
tammy.ramirez@myscu.edu,DATA213,B,85
tammy.ramirez@myscu.edu,DATA205,D,69
darlene.ross@myscu.edu,DATA215,D,65
darlene.ross@myscu.edu,DATA216,A,96
tina.herrera@myscu.edu,DATA219,B,85
tina.herrera@myscu.edu,DATA212,B,83
tina.herrera@myscu.edu,DATA215,B,83
sheila.wilson@myscu.edu,DATA203,D,63
tara.white@myscu.edu,DATA215,C,79
tara.white@myscu.edu,DATA213,A,97
tara.white@myscu.edu,DATA214,C,78
sydney.baker@myscu.edu,DATA213,D,62
sydney.baker@myscu.edu,DATA208,B,85
sydney.baker@myscu.edu,DATA207,C,72
daniel.hamilton@myscu.edu,DATA212,C,79
daniel.hamilton@myscu.edu,DATA211,A,98
daniel.hamilton@myscu.edu,DATA202,C,74
jessica.edwards@myscu.edu,DATA216,B,86
jessica.edwards@myscu.edu,DATA208,B,82
catherine.dixon@myscu.edu,DATA203,D,60
catherine.dixon@myscu.edu,DATA204,C,79
catherine.dixon@myscu.edu,DATA212,A,98
catherine.dixon@myscu.edu,DATA218,B,84
paul.ray@myscu.edu,DATA204,C,70
paul.ray@myscu.edu,DATA213,B,89
jonathan.fletcher@myscu.edu,DATA205,C,72
jonathan.fletcher@myscu.edu,DATA208,D,68
aaron.frost@myscu.edu,DATA203,C,70
aaron.frost@myscu.edu,DATA207,B,84
aaron.frost@myscu.edu,DATA211,B,87
amanda.ball@myscu.edu,DATA211,D,65
amanda.ball@myscu.edu,DATA209,C,78
amanda.ball@myscu.edu,DATA205,D,69
judy.lambert@myscu.edu,DATA212,C,73
judy.lambert@myscu.edu,DATA218,D,68
michael.jones@myscu.edu,DATA213,A,95
michael.jones@myscu.edu,DATA206,B,80
elizabeth.rivera@myscu.edu,DATA202,C,77
elizabeth.rivera@myscu.edu,DATA213,D,69
lee.charles@myscu.edu,DATA208,D,66
lee.charles@myscu.edu,DATA219,A,92
lee.charles@myscu.edu,DATA211,D,62
jennifer.evans@myscu.edu,DATA203,A,94
kyle.ortiz@myscu.edu,DATA216,A,98
kyle.ortiz@myscu.edu,DATA205,A,99
kyle.ortiz@myscu.edu,DATA204,D,66
kyle.ortiz@myscu.edu,DATA202,A,99
david.fisher@myscu.edu,DATA208,D,69
david.fisher@myscu.edu,DATA203,C,75
shelby.byrd@myscu.edu,DATA204,C,79
shelby.byrd@myscu.edu,DATA208,D,65
shelby.byrd@myscu.edu,DATA216,A,98
shelby.byrd@myscu.edu,DATA203,A,96
raven.gilbert@myscu.edu,DATA203,B,84
raven.gilbert@myscu.edu,DATA216,C,76
raven.gilbert@myscu.edu,DATA208,C,72
kevin.kelley@myscu.edu,DATA213,B,81
aaron.mitchell@myscu.edu,DATA206,D,68
aaron.mitchell@myscu.edu,DATA215,C,78
aaron.mitchell@myscu.edu,DATA207,B,89
aaron.mitchell@myscu.edu,DATA216,C,71
russell.carpenter@myscu.edu,DATA212,D,63
diana.marshall@myscu.edu,DATA218,B,83
diana.marshall@myscu.edu,DATA216,A,94
thomas.santana@myscu.edu,DATA208,C,75
thomas.santana@myscu.edu,DATA207,C,76
thomas.santana@myscu.edu,DATA204,C,72
laura.jackson@myscu.edu,DATA203,D,62
christopher.robertson@myscu.edu,DATA212,D,64
cynthia.rogers@myscu.edu,DATA219,D,65
cynthia.rogers@myscu.edu,DATA209,B,83
cynthia.rogers@myscu.edu,DATA205,A,93
cynthia.rogers@myscu.edu,DATA216,A,91
loretta.potter@myscu.edu,DATA208,B,85
loretta.potter@myscu.edu,DATA209,D,61
loretta.potter@myscu.edu,DATA205,B,83
emily.walker@myscu.edu,DATA209,B,83
emily.walker@myscu.edu,DATA213,B,89
james.johnson@myscu.edu,DATA213,B,84
james.johnson@myscu.edu,DATA211,A,96
john.alvarez@myscu.edu,DATA207,C,77
john.alvarez@myscu.edu,DATA213,A,91
john.alvarez@myscu.edu,DATA206,B,81
john.alvarez@myscu.edu,DATA203,B,89
john.alvarez@myscu.edu,DATA209,B,85
melissa.jones@myscu.edu,DATA207,A,97
melissa.jones@myscu.edu,DATA202,C,77
melissa.jones@myscu.edu,DATA214,A,100
robert.soto@myscu.edu,DATA207,B,81
james.horton@myscu.edu,DATA219,C,72
james.horton@myscu.edu,DATA209,B,83
james.horton@myscu.edu,DATA212,C,75
james.horton@myscu.edu,DATA205,B,87
troy.sanchez@myscu.edu,DATA219,B,83
troy.sanchez@myscu.edu,DATA211,A,96
troy.sanchez@myscu.edu,DATA209,A,90
diana.smith@myscu.edu,DATA218,C,77
karen.carrillo@myscu.edu,DATA208,B,85
karen.carrillo@myscu.edu,DATA212,B,84
daniel.coleman@myscu.edu,DATA211,A,92
gregory.rubio@myscu.edu,DATA211,B,84
gregory.rubio@myscu.edu,DATA205,B,87
april.williams@myscu.edu,DATA207,C,73
april.williams@myscu.edu,DATA206,C,77
john.charles@myscu.edu,DATA204,D,65
stephen.solis@myscu.edu,DATA212,B,81
stephen.solis@myscu.edu,DATA209,C,78
stephen.solis@myscu.edu,DATA213,B,83
elizabeth.travis@myscu.edu,DATA209,A,94
elizabeth.travis@myscu.edu,DATA216,D,60
caitlin.dodson@myscu.edu,DATA218,A,96
caitlin.dodson@myscu.edu,DATA216,B,81
caitlin.dodson@myscu.edu,DATA219,A,99
caitlin.dodson@myscu.edu,DATA207,A,92
jennifer.wagner@myscu.edu,DATA207,B,81
maria.kelley@myscu.edu,DATA205,B,85
maria.kelley@myscu.edu,DATA216,A,98
maria.kelley@myscu.edu,DATA208,D,69
phyllis.manning@myscu.edu,DATA212,B,83
phyllis.manning@myscu.edu,DATA214,A,96
thomas.green@myscu.edu,DATA206,B,84
thomas.green@myscu.edu,DATA219,B,88
thomas.green@myscu.edu,DATA209,C,71
katie.boyd@myscu.edu,DATA219,C,75
katie.boyd@myscu.edu,DATA207,D,60
katie.boyd@myscu.edu,DATA206,B,89
courtney.hill@myscu.edu,DATA206,D,68
chris.mitchell@myscu.edu,DATA205,C,75
chris.mitchell@myscu.edu,DATA206,B,83
chris.mitchell@myscu.edu,DATA216,A,97
joseph.flores@myscu.edu,DATA202,D,67
joseph.flores@myscu.edu,DATA218,C,77
amber.taylor@myscu.edu,DATA218,B,84
jesse.benson@myscu.edu,DATA219,D,67
jesse.benson@myscu.edu,DATA207,C,78
jesse.benson@myscu.edu,DATA204,D,63
jesse.benson@myscu.edu,DATA203,C,76
jasmine.brown@myscu.edu,DATA208,A,94
rick.daniels@myscu.edu,DATA215,A,97
robert.clark@myscu.edu,DATA203,C,72
robert.clark@myscu.edu,DATA214,C,75
robert.clark@myscu.edu,DATA216,C,70
robert.clark@myscu.edu,DATA219,B,86
robert.stein@myscu.edu,DATA203,D,67
robert.stein@myscu.edu,DATA206,B,80
robert.stein@myscu.edu,DATA207,C,79
robert.stein@myscu.edu,DATA202,C,73
brandy.dominguez@myscu.edu,DATA207,D,63
brandy.dominguez@myscu.edu,DATA215,B,88
melissa.cannon@myscu.edu,DATA213,A,96
melissa.cannon@myscu.edu,DATA204,B,86
omar.smith@myscu.edu,DATA207,C,74
michael.molina@myscu.edu,DATA207,D,66
michael.molina@myscu.edu,DATA202,D,61
michael.molina@myscu.edu,DATA218,A,94
melissa.ashley@myscu.edu,DATA214,D,67
melissa.ashley@myscu.edu,DATA216,A,91
melissa.ashley@myscu.edu,DATA215,A,93
melissa.ashley@myscu.edu,DATA212,C,70
robert.adkins@myscu.edu,DATA219,D,69
amy.morrison@myscu.edu,DATA205,D,67
amy.morrison@myscu.edu,DATA216,D,65
amy.morrison@myscu.edu,DATA213,B,83
jeffrey.robinson@myscu.edu,DATA205,B,88
jeffrey.robinson@myscu.edu,DATA219,A,95
jeffrey.robinson@myscu.edu,DATA206,C,77
ryan.johnson@myscu.edu,DATA207,B,80
matthew.shelton@myscu.edu,DATA208,C,70
richard.martin@myscu.edu,DATA203,C,73
richard.martin@myscu.edu,DATA213,C,77
richard.martin@myscu.edu,DATA219,C,71
tanner.anderson@myscu.edu,DATA204,A,92
tanner.anderson@myscu.edu,DATA216,B,89
tanner.anderson@myscu.edu,DATA207,C,76
cindy.johnson@myscu.edu,DATA207,C,77
cindy.johnson@myscu.edu,DATA215,D,63
cindy.johnson@myscu.edu,DATA218,D,67
phillip.elliott@myscu.edu,DATA209,A,91
phillip.elliott@myscu.edu,DATA203,C,72
anthony.day@myscu.edu,DATA213,C,70
anthony.day@myscu.edu,DATA206,A,93
anthony.day@myscu.edu,DATA212,B,86
derek.murray@myscu.edu,DATA218,B,81
derek.murray@myscu.edu,DATA219,D,69
derek.murray@myscu.edu,DATA211,C,74
brent.gray@myscu.edu,DATA219,B,88
jason.murphy@myscu.edu,DATA212,B,88
kathleen.gray@myscu.edu,DATA214,D,68
kathleen.gray@myscu.edu,DATA219,A,96
kathleen.gray@myscu.edu,DATA202,B,87
karen.decker@myscu.edu,DATA206,B,85
johnny.miller@myscu.edu,DATA207,B,80
johnny.miller@myscu.edu,DATA218,B,86
johnny.miller@myscu.edu,DATA209,C,72
johnny.miller@myscu.edu,DATA203,C,72
johnny.miller@myscu.edu,DATA219,B,89
andrew.ryan@myscu.edu,DATA203,D,60
andrew.ryan@myscu.edu,DATA207,D,67
zoe.bell@myscu.edu,DATA202,C,77
zoe.bell@myscu.edu,DATA216,D,63
zoe.bell@myscu.edu,DATA215,D,62
debra.harrington@myscu.edu,DATA213,B,82
denise.webster@myscu.edu,DATA214,D,69
denise.webster@myscu.edu,DATA204,B,88
denise.webster@myscu.edu,DATA213,A,94
denise.webster@myscu.edu,DATA206,D,64
denise.webster@myscu.edu,DATA205,D,61
stefanie.gonzalez@myscu.edu,DATA214,B,83
stefanie.gonzalez@myscu.edu,DATA206,B,80
andrew.hernandez@myscu.edu,DATA204,A,93
andrew.hernandez@myscu.edu,DATA219,D,62
andrew.hernandez@myscu.edu,DATA216,D,62
andrew.hernandez@myscu.edu,DATA202,D,61
david.caldwell@myscu.edu,DATA212,D,69
david.caldwell@myscu.edu,DATA214,A,90
anne.robinson@myscu.edu,DATA219,C,71
holly.wang@myscu.edu,DATA212,D,64
holly.wang@myscu.edu,DATA202,C,79
holly.wang@myscu.edu,DATA219,C,71
holly.wang@myscu.edu,DATA208,B,80
julie.wilson@myscu.edu,DATA204,D,67
julie.wilson@myscu.edu,DATA216,B,87
lori.oconnell@myscu.edu,DATA208,D,61
lori.oconnell@myscu.edu,DATA213,A,98
lori.oconnell@myscu.edu,DATA211,C,74
daniel.johnson@myscu.edu,DATA206,D,67
daniel.johnson@myscu.edu,DATA207,C,73
daniel.johnson@myscu.edu,DATA215,B,85
larry.byrd@myscu.edu,DATA215,A,93
larry.byrd@myscu.edu,DATA213,A,100
larry.byrd@myscu.edu,DATA219,D,65
susan.sanders@myscu.edu,DATA213,C,70
susan.sanders@myscu.edu,DATA203,D,62
susan.sanders@myscu.edu,DATA219,C,72
susan.sanders@myscu.edu,DATA204,D,67
jennifer.jones@myscu.edu,DATA216,C,72
