User_id,Password,Role
angela.garcia@myscu.edu,H5h=*b$>{6u.,student
blake.black@myscu.edu,/@Vj|d13;7^;,student
laura.brown@myscu.edu,@KQs(]~biK8p,student
julian.hall@myscu.edu,RG7E(I.RJ6Hm,student
katherine.baker@myscu.edu,t1|+?l@w^X1z,student
mckenzie.allen@myscu.edu,a_.9FSBi]mrS,student
matthew.mcgrath@myscu.edu,C}$HLjZI?]Dy,student
barbara.richardson@myscu.edu,#Izy>6hM9_.~,student
timothy.garrett@myscu.edu,2a@cXS`_~uu$,student
hunter.horton@myscu.edu,Xjjf|p)O*c`d,student
matthew.miller@myscu.edu,y48S0!gO)lN_,student
robert.carroll@myscu.edu,!$;-\%gUfjFP,student
denise.burns@myscu.edu,:&]$!B/Iz#3g,student
kristi.crawford@myscu.edu,3jcTAfd!pd>V,student
rachel.payne@myscu.edu,vWeB8Whj@!98,student
kayla.gonzalez@myscu.edu,3~;cI:^j)5+d,student
patricia.cox@myscu.edu,vxoW:lBhoA(I,student
nicholas.estrada@myscu.edu,*^)HtUam$Rp3,student
jennifer.wilson@myscu.edu,M-/.\#(&-m~&,student
richard.whitehead@myscu.edu,oe1_QMJz^]'A,student
scott.chan@myscu.edu,+s73oN|(\83Z,student
matthew.flowers@myscu.edu,"$5kxp9""l3{!M",student
katrina.jones@myscu.edu,4n2Z(Vlyv[dD,student
julie.boyle@myscu.edu,")JN""))flmdjB",student
holly.brown@myscu.edu,"C]Bph\f~/""e5",student
mario.buck@myscu.edu,M/D[:5Yg;HCb,student
judy.weber@myscu.edu,us2qu14pxxs.,student
shawn.reynolds@myscu.edu,zS`>[9J$aPR;,student
david.rowland@myscu.edu,1:tR4JZ-DsJ+,student
andre.lopez@myscu.edu,")!SA;""MLLQM>",student
ashley.huber@myscu.edu,^vX9er)aGU6M,student
joseph.mcintyre@myscu.edu,D12Sk%:3M$'S,student
colin.morgan@myscu.edu,4PmetcbnPf}C,student
cheryl.hensley@myscu.edu,"nV,*6Q;ssmk`",student
marc.park@myscu.edu,>V=G$S[}rpXE,student
lonnie.murphy@myscu.edu,C~{yg&+HStE!,student
mary.espinoza@myscu.edu,L$FZKkn'b{&],student
timothy.taylor@myscu.edu,.KL}24AWU.|w,student
jeremy.turner@myscu.edu,R5^lUx]H<CLe,student
alexander.bean@myscu.edu,"<_j}Q:(`x""/<",student
jennifer.dyer@myscu.edu,};c&Ca_yuDlD,student
natalie.jones@myscu.edu,-Oo+?rYj@BN-,student
michael.haynes@myscu.edu,>Ix#|NHIR]H$,student
nathan.bolton@myscu.edu,J)\o12OwdTBq,student
jason.white@myscu.edu,HNT<;OY&]bU-,student
edwin.williams@myscu.edu,#s?1[uvvIBr`,student
elizabeth.crawford@myscu.edu,VD4DpgTK(c;A,student
anna.carrillo@myscu.edu,OA\=7|8tnn75,student
matthew.marquez@myscu.edu,"3<:e,W~/w%pg",student
rebecca.drake@myscu.edu,^[:bRn]n@oAR,student
lauren.pope@myscu.edu,"-u$2[BAeBxm""",student
alexis.butler@myscu.edu,mLXq2cJxrQ9U,student
brenda.huber@myscu.edu,|GW5q;7;I!L`,student
crystal.wright@myscu.edu,:~.z#|Rz\^/4,student
lee.mills@myscu.edu,"""YYNr;},VB0<",student
mark.allen@myscu.edu,"3-IYRw""htffK",student
thomas.rodriguez@myscu.edu,"'%3^u""hs3T|1",student
john.potter@myscu.edu,"}>!!YaK,)ilN",student
stephanie.finley@myscu.edu,/IYtb|:gJLX',student
tracy.ross@myscu.edu,"-pQOx""b:`,Em",student
richard.williams@myscu.edu,\ntu0}6MH4`i,student
john.lopez@myscu.edu,"m'8PNk""xhZOg",student
nicole.hill@myscu.edu,"UQy'cn~}$^,,",student
sarah.byrd@myscu.edu,5tP$joB93!j<,student
matthew.harmon@myscu.edu,Y.dOKLFndA;7,student
geoffrey.allen@myscu.edu,{.nf!z8i_Gam,student
monica.calhoun@myscu.edu,Ds9YWGz5+N1[,student
bradley.krause@myscu.edu,"uatD'~x5W0O,",student
billy.brown@myscu.edu,vR>M9%z^-p(b,student
holly.downs@myscu.edu,+qx&P3UkSrg0,student
margaret.nguyen@myscu.edu,U.]q+${#37CK,student
jeffrey.garza@myscu.edu,<_N\mvs|F6>-,student
rita.reid@myscu.edu,wSsF<>4!26~b,student
stephanie.lopez@myscu.edu,s-~NEZ8Kf8*D,student
jason.perry@myscu.edu,FEac>=|Xm\<M,student
robert.watson@myscu.edu,";au!2n;EP""{^",student
mary.mann@myscu.edu,"Xl""k|Sb,Y,!i",student
michael.gomez@myscu.edu,AE^v@ahBD#ci,student
megan.chavez@myscu.edu,G+w8|Y9K0tjT,student
mary.young@myscu.edu,"Soq<0=(,xVOH",student
troy.woods@myscu.edu,"""76!Yb':[pI|",student
susan.lewis@myscu.edu,}g1UOH8ycF0r,student
richard.moreno@myscu.edu,OUMxdoONOLdS,student
april.robertson@myscu.edu,"Wu=[,.g7wxC|",student
rachel.jensen@myscu.edu,@`uJCAj/$tIw,student
ryan.irwin@myscu.edu,lJ]NS_$}SOH@,student
omar.carr@myscu.edu,"D""UY>tl,$=b+",student
raymond.baker@myscu.edu,bGnJ3;cPE<ir,student
anthony.martinez@myscu.edu,}=`j;D81XKQ!,student
patricia.williams@myscu.edu,A#ikf4g_}lmU,student
robert.stevens@myscu.edu,9OoMZ-ChXQZi,student
caleb.rodriguez@myscu.edu,hTE6bEb*XU/D,student
johnny.daniels@myscu.edu,L:uY8eQYfXzY,student
blake.acevedo@myscu.edu,)G)^d[q8PXJt,student
johnny.harris@myscu.edu,"R,UgxE&P{>9q",student
nicholas.hall@myscu.edu,ZA&}5]8twT!A,student
danielle.lynch@myscu.edu,K#+*|P&>nOu1,student
stephen.simpson@myscu.edu,"#(""7F1?,HiX~",student
john.haynes@myscu.edu,>ok*[V599:i~,student
daniel.davis@myscu.edu,d3;0X8w'D&1Z,student
elizabeth.frost@myscu.edu,":""@fDgh*ciY}",student
manuel.perry@myscu.edu,$Tgdoo.aKf^',student
sean.hawkins@myscu.edu,"IM]&U=\""X>""Y",student
sandra.chapman@myscu.edu,`H}\$hXk496',student
brandon.walker@myscu.edu,#wSg?STA=n<@,student
matthew.robertson@myscu.edu,lW%fW3!svnbQ,student
kevin.scott@myscu.edu,GwYRdW_F#d)w,student
laura.ball@myscu.edu,kEJ5Yb\E*ETG,student
michael.clark@myscu.edu,Ggl7MS>}dVs&,student
allison.rivera@myscu.edu,"D;""di@Z|^OMp",student
robert.collins@myscu.edu,LO;>Ils']t]S,student
timothy.santana@myscu.edu,%Fq**P?;!6uv,student
amber.wheeler@myscu.edu,)`\O~U80p;zq,student
evan.george@myscu.edu,"FI?C/#,r""jO/",student
andrea.ritter@myscu.edu,V)/3'@^030Zs,student
heather.fletcher@myscu.edu,wqk)-<oxMDm.,student
erika.jones@myscu.edu,"5x&!J}""I3yFr",student
sara.brown@myscu.edu,pK!G9:&4[1UF,student
gary.mcgee@myscu.edu,:QN3v@oiwc(R,student
monique.meyer@myscu.edu,7_oAIh*}d=aG,student
vicki.jackson@myscu.edu,?k#ejpX@u?*3,student
samuel.chambers@myscu.edu,p/Pzw%f3-aGO,student
leslie.mccoy@myscu.edu,NlnkmsZ^L{f7,student
robert.phillips@myscu.edu,5@;M|Eq9Ue8n,student
jeffery.randall@myscu.edu,[;>B^%gGr:>L,student
brandy.bell@myscu.edu,ohip/OWVNuLt,student
renee.williamson@myscu.edu,&(d%Cl(UNY%n,student
kimberly.thompson@myscu.edu,JpP;wK!<[&#^,student
marissa.thomas@myscu.edu,BFal]u~/);a!,student
tiffany.bennett@myscu.edu,"'$|x{:0!,/e|",student
jenny.morse@myscu.edu,H!/-0t2(5]3I,student
kimberly.brandt@myscu.edu,1e!/oKP{y5a.,student
jeremy.ellison@myscu.edu,sC<o>*cC&1;I,student
matthew.dunn@myscu.edu,+2'[}DS-j#_;,student
alicia.clarke@myscu.edu,HrMu_#j5\{[O,student
daniel.chen@myscu.edu,[Iym{;FtvRB7,student
charlene.moore@myscu.edu,;T``3/G7qw8q,student
brian.davis@myscu.edu,$$5{Z&Z}$s~Z,student
adam.smith@myscu.edu,2v#BsppD]BkD,student
frank.bowers@myscu.edu,Ys@ZwQy1O\0\,student
kaitlyn.potter@myscu.edu,l/tlW);ft+jU,student
megan.morrow@myscu.edu,mX1/iMH1ObMm,student
cynthia.murphy@myscu.edu,"M7TS{%""uidF&",student
heather.scott@myscu.edu,7-M[IH'(X~d[,student
mathew.novak@myscu.edu,iq^.F'8FDx@r,student
sierra.dickerson@myscu.edu,"oE,aRcOKrH){",student
amber.fox@myscu.edu,!{WiPk8<Deu5,student
jerry.snyder@myscu.edu,koa:;9:7g^!{,student
sherri.morris@myscu.edu,n~q{gK:@l]Hv,student
heidi.ellis@myscu.edu,TxC=144I.$vQ,student
kathleen.fitzpatrick@myscu.edu,A]UPSptwaG1S,student
patricia.khan@myscu.edu,c6]S/#G4z9`T,student
scott.tucker@myscu.edu,vbJcj?3!%5ba,student
andrew.perkins@myscu.edu,q%[dHY.d@alh,student
anita.potter@myscu.edu,9W>hpw'dwfO7,student
latoya.wilson@myscu.edu,1Q++hWvm;JqJ,student
lindsey.pineda@myscu.edu,`P1wu/(_+m$v,student
valerie.wilson@myscu.edu,EjLK[njWixUw,student
kyle.burch@myscu.edu,\Q}ec;(jkY<l,student
paul.woodward@myscu.edu,l7Msv/OPd#>i,student
andrea.carter@myscu.edu,KdCYZLBlg;nH,student
cody.harris@myscu.edu,gDrV:Waq-ErU,student
sierra.rodriguez@myscu.edu,LCr+#Z^w'>JO,student
kevin.curtis@myscu.edu,"Vk""=q/H5(Dh<",student
andrew.fuller@myscu.edu,"7,B{4HQD<KD*",student
jeremy.atkins@myscu.edu,ztD>..N5pJU+,student
wayne.price@myscu.edu,"$Dm""C*g11Oa3",student
lindsay.castillo@myscu.edu,\u**%7Rk3m$p,student
debra.perry@myscu.edu,"6G=""2eu$6|H&",student
cory.miller@myscu.edu,bBjs@/%dNeku,student
shane.stevenson@myscu.edu,"xO7+Ji,H8QR)",student
kaitlin.schwartz@myscu.edu,6d{-!txGV0#J,student
adam.vaughn@myscu.edu,)pW%ND86f=pp,student
hector.lutz@myscu.edu,"g~GBT{F3""(W[",student
jade.durham@myscu.edu,9ha26kw{M2Qe,student
joseph.pierce@myscu.edu,Alq{CI!fp'7',student
justin.jones@myscu.edu,hj7WLgx_#CDX,student
susan.harris@myscu.edu,xn0&P|(N\beu,student
dawn.wilson@myscu.edu,:FTgvSc-;U*C,student
matthew.wilson@myscu.edu,"hF^""e$T>=u'E",student
kelsey.myers@myscu.edu,G?jE|wd(QQqq,student
crystal.richards@myscu.edu,nnDuLr|{wGrr,student
tracy.abbott@myscu.edu,naA.[ZGLv(-(,student
dean.dominguez@myscu.edu,)2z~RyWk0mVd,student
lisa.norris@myscu.edu,"$p{ry'-~h=,Q",student
aaron.miller@myscu.edu,[)4R(t1M09rG,student
nicole.ellis@myscu.edu,"Bu""+X+$uYb4<",student
angelica.jones@myscu.edu,`.gEhkpR</&z,student
zachary.mclaughlin@myscu.edu,8Uk7TEH8#t;#,student
justin.morrow@myscu.edu,".?r=,.=w>,5[",student
corey.walker@myscu.edu,.a?Mc>b4]p:4,student
sherri.hernandez@myscu.edu,"X;J+""Z@*m^}y",student
nathan.perkins@myscu.edu,x9~M'fAg_YPp,student
ryan.armstrong@myscu.edu,"\T""&$<_'WD;#",student
allison.ford@myscu.edu,"C,vq3cn}|+N1",student
joshua.harris@myscu.edu,#eB&7jFQeEiK,student
cindy.cunningham@myscu.edu,c0t#q1R3t$h+,student
james.martinez@myscu.edu,j8*U}GZ.WlaY,student
heidi.walker@myscu.edu,w`!R4B~eIWK(,student
christina.nielsen@myscu.edu,1t?HIn(yRu=-,student
latasha.taylor@myscu.edu,"7{N:OW4l1h,k",student
theresa.duncan@myscu.edu,_s;OC(`*m)xm,student
guy.mclean@myscu.edu,B3s[|GOi&f`J,student
dalton.flores@myscu.edu,"""{>GkC$=c'x9",student
pamela.johnson@myscu.edu,0HfZJPUc~}E4,student
teresa.davis@myscu.edu,6l3c&p=FIthL,student
wendy.mason@myscu.edu,4Q7cXq?9[D=V,student
rose.caldwell@myscu.edu,|gxR!mRIcgR_,student
william.gibbs@myscu.edu,nyDaeB5=?1FF,student
ryan.johnson@myscu.edu,Q_e*u>BHb)a_,student
jessica.lewis@myscu.edu,Y)g5UT$nEB8s,student
chad.green@myscu.edu,"8wtIqxut>:<,",student
caroline.ramirez@myscu.edu,?\n|7iw+kany,student
claudia.walker@myscu.edu,Q0vFDm7?V?Rb,student
samantha.wilkerson@myscu.edu,"sUQ62Fj@x,#b",student
justin.rose@myscu.edu,l{+fJ5_t$Eyr,student
nancy.harrison@myscu.edu,lVy.v`e{YdCB,student
steve.jacobs@myscu.edu,9N{cmS;Z/2_],student
lance.kelly@myscu.edu,u:I2C@\[/XIW,student
claudia.smith@myscu.edu,pS/1!}^{Y&lF,student
edward.richardson@myscu.edu,`l)wUa>*<!YY,student
cheryl.ochoa@myscu.edu,"u3""tq[ymrUWE",student
leslie.klein@myscu.edu,hd'%_[o2Vu&<,student
melissa.yu@myscu.edu,ul$$=x]t_c|],student
joseph.davis@myscu.edu,~U/bG.9~s`BT,student
clifford.cooper@myscu.edu,5&Z-p)r`VF!!,student
tonya.long@myscu.edu,"[,D/22N.nVU9",student
richard.cervantes@myscu.edu,S:yp2LkNChWt,student
chloe.garcia@myscu.edu,Ieu@NzrPF!>0,student
phillip.norman@myscu.edu,"AW#Lc}<""WwW5",student
mark.johnson@myscu.edu,qN?;Hjv@6zyB,student
jake.lewis@myscu.edu,e:6!yO|$78XJ,student
linda.jones@myscu.edu,'OS^To+ut|-.,student
marcus.jones@myscu.edu,"g"")k7v|j3c:B",student
david.bates@myscu.edu,H*}#*SlYw:44,student
christy.hill@myscu.edu,"C_I8<D"".Kg@{",student
austin.smith@myscu.edu,^)cP:Ux/`Ne!,student
sara.smith@myscu.edu,Wf*k;e}Win#K,student
roy.ramirez@myscu.edu,n&=|11eLpk?0,student
paul.king@myscu.edu,m]zj+G6hM+HA,student
christina.walls@myscu.edu,"1bz$K&f%rKs,",student
karen.gallagher@myscu.edu,gyusdxXz$A1@,student
victoria.romero@myscu.edu,"nTGXqa2*,>ci",student
kathryn.morrison@myscu.edu,cjc19D}R'CL\,student
brian.craig@myscu.edu,vd_kPp/ins\U,student
monica.lewis@myscu.edu,Dq$8!@hDPLPM,student
matthew.jones@myscu.edu,Rm+-|N]E.DHP,student
matthew.wagner@myscu.edu,"n1""y""4>|{jt\",student
joy.perry@myscu.edu,n`%0JHaI3]+%,student
brooke.walker@myscu.edu,k)fRsabshIf9,student
elaine.collins@myscu.edu,d:^rNj6v$!ED,student
sara.lewis@myscu.edu,"=Xr;p.,f-4M_",student
david.marks@myscu.edu,dQ_0bk[S4Z;&,student
tiffany.orr@myscu.edu,;8sp(;T=3T$?,student
brian.benton@myscu.edu,(:wVH5ax>/5w,student
mark.young@myscu.edu,"ZZO5m;""HDDIY",student
suzanne.reilly@myscu.edu,JN8@DSG{ThN2,student
belinda.brady@myscu.edu,"N7""*x^LE0hl:",student
amanda.kirby@myscu.edu,FNK*:9wG()97,student
jacqueline.cisneros@myscu.edu,x6FM[nLoc5yB,student
christina.taylor@myscu.edu,LQW`SdCv]A&D,student
edward.webb@myscu.edu,"0I,S#1<B\<bd",student
bobby.jones@myscu.edu,"r""=O>7?k,UPa",student
cody.riddle@myscu.edu,1)9RUR~[U5M~,student
justin.meyer@myscu.edu,/ix)AOq-h>zy,student
michael.burns@myscu.edu,($6L8IU?muxc,student
rachel.joseph@myscu.edu,Yi(/o$Gt@9Eh,student
jenny.gonzales@myscu.edu,pM<%*}7)ON^0,student
perry.williamson@myscu.edu,"VDhx).C""BF:S",student
tommy.harris@myscu.edu,wb:oI;%E!6-<,student
brandon.smith@myscu.edu,zD>o_E6m}dPg,student
joseph.hamilton@myscu.edu,dRJZ)CIkQ/vA,student
