Email_address,First_name,Last_name,Course_ids
kenneth.fowler@myscu.edu,Kenneth,Fowler,"DATA219,DATA216,DATA209,DATA206"
chelsea.hernandez@myscu.edu,Chelsea,Hernandez,"DATA203,DATA209,DATA204"
kathryn.ryan@myscu.edu,Kathryn,Ryan,"DATA213,DATA208,DATA205"
kimberly.moreno@myscu.edu,Kimberly,Moreno,"DATA202,DATA215,DATA216"
aaron.nguyen@myscu.edu,Aaron,Nguyen,
andrew.hickman@myscu.edu,Andrew,Hickman,"DATA202,DATA214,DATA211,DATA209,DATA207"
natasha.decker@myscu.edu,Natasha,Decker,"DATA204,DATA206,DATA208,DATA215"
kyle.brown@myscu.edu,Kyle,Brown,"DATA208,DATA205,DATA215"
natalie.arroyo@myscu.edu,Natalie,Arroyo,"DATA211,DATA214"
christopher.tucker@myscu.edu,Christopher,Tucker,DATA208
chad.hodges@myscu.edu,Chad,Hodges,"DATA212,DATA215"
katie.anderson@myscu.edu,Katie,Anderson,"DATA208,DATA207,DATA216,DATA202,DATA204"
thomas.pierce@myscu.edu,Thomas,Pierce,"DATA214,DATA203"
joseph.brennan@myscu.edu,Joseph,Brennan,"DATA211,DATA216"
rodney.lewis@myscu.edu,Rodney,Lewis,"DATA209,DATA203,DATA208"
amber.blair@myscu.edu,Amber,Blair,"DATA209,DATA212,DATA202"
james.collins@myscu.edu,James,Collins,"DATA219,DATA203,DATA207,DATA209,DATA208"
wanda.santos@myscu.edu,Wanda,Santos,
samuel.holmes@myscu.edu,Samuel,Holmes,"DATA209,DATA218,DATA216,DATA205,DATA215"
david.walker@myscu.edu,David,Walker,"DATA215,DATA204,DATA219"
matthew.chapman@myscu.edu,Matthew,Chapman,"DATA216,DATA213,DATA218"
jerry.robinson@myscu.edu,Jerry,Robinson,"DATA215,DATA206,DATA205,DATA203"
chad.welch@myscu.edu,Chad,Welch,"DATA212,DATA213,DATA208"
jeremy.whitehead@myscu.edu,Jeremy,Whitehead,"DATA218,DATA206"
michele.jones@myscu.edu,Michele,Jones,"DATA219,DATA218,DATA211"
john.caldwell@myscu.edu,John,Caldwell,DATA219
jason.anderson@myscu.edu,Jason,Anderson,"DATA219,DATA215,DATA206,DATA207"
selena.duncan@myscu.edu,Selena,Duncan,DATA218
thomas.mueller@myscu.edu,Thomas,Mueller,"DATA204,DATA215,DATA207"
lindsey.lee@myscu.edu,Lindsey,Lee,"DATA215,DATA207,DATA213"
collin.jordan@myscu.edu,Collin,Jordan,"DATA202,DATA203,DATA204"
rodney.owens@myscu.edu,Rodney,Owens,"DATA202,DATA213"
jessica.nunez@myscu.edu,Jessica,Nunez,DATA215
tracey.garcia@myscu.edu,Tracey,Garcia,DATA214
richard.morgan@myscu.edu,Richard,Morgan,"DATA202,DATA203"
michelle.wright@myscu.edu,Michelle,Wright,"DATA216,DATA214,DATA204,DATA207,DATA206"
james.west@myscu.edu,James,West,"DATA219,DATA211"
robert.ramirez@myscu.edu,Robert,Ramirez,DATA202
john.leblanc@myscu.edu,John,Leblanc,DATA208
scott.callahan@myscu.edu,Scott,Callahan,"DATA208,DATA218"
andrea.williams@myscu.edu,Andrea,Williams,"DATA208,DATA203,DATA214"
yvette.huff@myscu.edu,Yvette,Huff,"DATA209,DATA202"
tanya.house@myscu.edu,Tanya,House,"DATA219,DATA207,DATA203"
melinda.martin@myscu.edu,Melinda,Martin,DATA216
todd.lewis@myscu.edu,Todd,Lewis,"DATA207,DATA219"
richard.brown@myscu.edu,Richard,Brown,
nicholas.galloway@myscu.edu,Nicholas,Galloway,"DATA208,DATA205"
joseph.bowers@myscu.edu,Joseph,Bowers,DATA207
spencer.henderson@myscu.edu,Spencer,Henderson,"DATA218,DATA206,DATA213"
susan.cowan@myscu.edu,Susan,Cowan,DATA206
angela.higgins@myscu.edu,Angela,Higgins,DATA211
eric.phillips@myscu.edu,Eric,Phillips,"DATA209,DATA218,DATA207,DATA208"
tanya.riley@myscu.edu,Tanya,Riley,"DATA206,DATA211,DATA219,DATA214"
amy.adkins@myscu.edu,Amy,Adkins,"DATA205,DATA203,DATA218"
brian.silva@myscu.edu,Brian,Silva,"DATA216,DATA206,DATA205"
wesley.farrell@myscu.edu,Wesley,Farrell,"DATA213,DATA207"
eric.yu@myscu.edu,Eric,Yu,DATA208
christopher.lopez@myscu.edu,Christopher,Lopez,"DATA208,DATA206"
brooke.leonard@myscu.edu,Brooke,Leonard,"DATA219,DATA206"
joe.wilson@myscu.edu,Joe,Wilson,"DATA213,DATA209"
pamela.sanchez@myscu.edu,Pamela,Sanchez,"DATA206,DATA214,DATA207"
brooke.harvey@myscu.edu,Brooke,Harvey,"DATA219,DATA204,DATA203,DATA206"
robert.silva@myscu.edu,Robert,Silva,"DATA204,DATA209,DATA213"
alexandra.donovan@myscu.edu,Alexandra,Donovan,"DATA209,DATA202"
james.moran@myscu.edu,James,Moran,"DATA206,DATA215"
john.foster@myscu.edu,John,Foster,"DATA211,DATA205"
emily.evans@myscu.edu,Emily,Evans,
leslie.walton@myscu.edu,Leslie,Walton,"DATA205,DATA213,DATA203,DATA202"
charles.ellis@myscu.edu,Charles,Ellis,DATA206
yolanda.ferrell@myscu.edu,Yolanda,Ferrell,DATA206
charles.lewis@myscu.edu,Charles,Lewis,"DATA214,DATA213"
joseph.mahoney@myscu.edu,Joseph,Mahoney,DATA218
nicole.suarez@myscu.edu,Nicole,Suarez,"DATA216,DATA207,DATA205,DATA208"
mike.moore@myscu.edu,Mike,Moore,"DATA205,DATA216,DATA214"
martha.warner@myscu.edu,Martha,Warner,"DATA203,DATA219"
cheryl.archer@myscu.edu,Cheryl,Archer,"DATA209,DATA218,DATA206,DATA214,DATA213"
destiny.smith@myscu.edu,Destiny,Smith,"DATA207,DATA219"
lisa.evans@myscu.edu,Lisa,Evans,"DATA206,DATA208,DATA219"
elizabeth.mcmillan@myscu.edu,Elizabeth,Mcmillan,"DATA219,DATA206,DATA212"
dennis.wilson@myscu.edu,Dennis,Wilson,DATA212
daniel.tran@myscu.edu,Daniel,Tran,"DATA205,DATA202,DATA218,DATA203"
joseph.jacobs@myscu.edu,Joseph,Jacobs,DATA215
jennifer.harris@myscu.edu,Jennifer,Harris,DATA211
cynthia.baker@myscu.edu,Cynthia,Baker,DATA207
tracy.whitehead@myscu.edu,Tracy,Whitehead,"DATA212,DATA215,DATA204"
meghan.davis@myscu.edu,Meghan,Davis,"DATA215,DATA205,DATA207,DATA204"
rodney.hill@myscu.edu,Rodney,Hill,DATA208
adam.wise@myscu.edu,Adam,Wise,"DATA218,DATA219,DATA202,DATA207"
dana.green@myscu.edu,Dana,Green,"DATA214,DATA202,DATA216"
joyce.arnold@myscu.edu,Joyce,Arnold,"DATA202,DATA208,DATA218"
ronald.smith@myscu.edu,Ronald,Smith,"DATA204,DATA205,DATA213"
charles.ware@myscu.edu,Charles,Ware,"DATA204,DATA206,DATA207"
rebecca.gardner@myscu.edu,Rebecca,Gardner,DATA208
mary.aguilar@myscu.edu,Mary,Aguilar,"DATA219,DATA204,DATA214,DATA202,DATA213"
earl.anderson@myscu.edu,Earl,Anderson,"DATA202,DATA214,DATA205"
kyle.nolan@myscu.edu,Kyle,Nolan,DATA208
laura.valencia@myscu.edu,Laura,Valencia,DATA203
rachel.clark@myscu.edu,Rachel,Clark,DATA212
john.garcia@myscu.edu,John,Garcia,
kimberly.henson@myscu.edu,Kimberly,Henson,DATA212
richard.oliver@myscu.edu,Richard,Oliver,
eric.spears@myscu.edu,Eric,Spears,DATA202
michelle.cherry@myscu.edu,Michelle,Cherry,"DATA206,DATA205,DATA218"
lisa.keith@myscu.edu,Lisa,Keith,DATA208
angel.doyle@myscu.edu,Angel,Doyle,DATA215
martin.galvan@myscu.edu,Martin,Galvan,"DATA214,DATA215"
leah.shields@myscu.edu,Leah,Shields,
lisa.adams@myscu.edu,Lisa,Adams,"DATA218,DATA211,DATA209"
kristin.rodriguez@myscu.edu,Kristin,Rodriguez,"DATA208,DATA204,DATA211"
monica.garrison@myscu.edu,Monica,Garrison,"DATA216,DATA203,DATA209"
jeffrey.velasquez@myscu.edu,Jeffrey,Velasquez,"DATA218,DATA208,DATA205"
steven.torres@myscu.edu,Steven,Torres,DATA213
laura.perez@myscu.edu,Laura,Perez,"DATA206,DATA204,DATA218,DATA215"
andrew.lee@myscu.edu,Andrew,Lee,"DATA208,DATA215,DATA216"
mark.lin@myscu.edu,Mark,Lin,
tammy.ramirez@myscu.edu,Tammy,Ramirez,"DATA213,DATA205"
darlene.ross@myscu.edu,Darlene,Ross,"DATA215,DATA216"
tina.herrera@myscu.edu,Tina,Herrera,"DATA219,DATA212,DATA215"
sheila.wilson@myscu.edu,Sheila,Wilson,DATA203
tara.white@myscu.edu,Tara,White,"DATA215,DATA213,DATA214"
sydney.baker@myscu.edu,Sydney,Baker,"DATA213,DATA208,DATA207"
daniel.hamilton@myscu.edu,Daniel,Hamilton,"DATA212,DATA211,DATA202"
jessica.edwards@myscu.edu,Jessica,Edwards,"DATA216,DATA208"
catherine.dixon@myscu.edu,Catherine,Dixon,"DATA203,DATA204,DATA212,DATA218"
paul.ray@myscu.edu,Paul,Ray,"DATA204,DATA213"
jonathan.fletcher@myscu.edu,Jonathan,Fletcher,"DATA205,DATA208"
aaron.frost@myscu.edu,Aaron,Frost,"DATA203,DATA207,DATA211"
amanda.ball@myscu.edu,Amanda,Ball,"DATA211,DATA209,DATA205"
judy.lambert@myscu.edu,Judy,Lambert,"DATA212,DATA218"
michael.jones@myscu.edu,Michael,Jones,"DATA213,DATA206"
elizabeth.rivera@myscu.edu,Elizabeth,Rivera,"DATA202,DATA213"
lee.charles@myscu.edu,Lee,Charles,"DATA208,DATA219,DATA214,DATA211"
jennifer.evans@myscu.edu,Jennifer,Evans,DATA203
kyle.ortiz@myscu.edu,Kyle,Ortiz,"DATA216,DATA205,DATA204,DATA202"
richard.phillips@myscu.edu,Richard,Phillips,
david.fisher@myscu.edu,David,Fisher,"DATA208,DATA203"
shelby.byrd@myscu.edu,Shelby,Byrd,"DATA204,DATA208,DATA216,DATA203"
raven.gilbert@myscu.edu,Raven,Gilbert,"DATA203,DATA216,DATA208"
kevin.kelley@myscu.edu,Kevin,Kelley,DATA213
aaron.mitchell@myscu.edu,Aaron,Mitchell,"DATA206,DATA215,DATA207,DATA216"
russell.carpenter@myscu.edu,Russell,Carpenter,DATA212
diana.marshall@myscu.edu,Diana,Marshall,"DATA218,DATA216"
scott.lewis@myscu.edu,Scott,Lewis,
thomas.santana@myscu.edu,Thomas,Santana,"DATA208,DATA207,DATA204"
laura.jackson@myscu.edu,Laura,Jackson,DATA203
christopher.robertson@myscu.edu,Christopher,Robertson,DATA212
cynthia.rogers@myscu.edu,Cynthia,Rogers,"DATA219,DATA209,DATA205,DATA216"
loretta.potter@myscu.edu,Loretta,Potter,"DATA208,DATA209,DATA205"
emily.walker@myscu.edu,Emily,Walker,"DATA209,DATA213"
james.johnson@myscu.edu,James,Johnson,"DATA213,DATA211"
john.alvarez@myscu.edu,John,Alvarez,"DATA207,DATA213,DATA206,DATA203,DATA209"
melissa.jones@myscu.edu,Melissa,Jones,"DATA207,DATA202,DATA214"
robert.soto@myscu.edu,Robert,Soto,DATA207
james.horton@myscu.edu,James,Horton,"DATA219,DATA209,DATA212,DATA205"
troy.sanchez@myscu.edu,Troy,Sanchez,"DATA219,DATA211,DATA209"
diana.smith@myscu.edu,Diana,Smith,DATA218
karen.carrillo@myscu.edu,Karen,Carrillo,"DATA208,DATA212"
daniel.coleman@myscu.edu,Daniel,Coleman,DATA211
gregory.rubio@myscu.edu,Gregory,Rubio,"DATA211,DATA205"
april.williams@myscu.edu,April,Williams,"DATA207,DATA206"
john.charles@myscu.edu,John,Charles,DATA204
stephen.solis@myscu.edu,Stephen,Solis,"DATA212,DATA209,DATA213"
elizabeth.travis@myscu.edu,Elizabeth,Travis,"DATA209,DATA216"
caitlin.dodson@myscu.edu,Caitlin,Dodson,"DATA218,DATA216,DATA219,DATA207"
patricia.salazar@myscu.edu,Patricia,Salazar,
jennifer.wagner@myscu.edu,Jennifer,Wagner,DATA207
maria.kelley@myscu.edu,Maria,Kelley,"DATA205,DATA216,DATA208"
phyllis.manning@myscu.edu,Phyllis,Manning,"DATA212,DATA214"
thomas.green@myscu.edu,Thomas,Green,"DATA206,DATA219,DATA209"
john.walsh@myscu.edu,John,Walsh,
katie.boyd@myscu.edu,Katie,Boyd,"DATA219,DATA207,DATA206"
courtney.hill@myscu.edu,Courtney,Hill,DATA206
chris.mitchell@myscu.edu,Chris,Mitchell,"DATA205,DATA206,DATA216"
joseph.flores@myscu.edu,Joseph,Flores,"DATA202,DATA218"
amber.taylor@myscu.edu,Amber,Taylor,DATA218
jesse.benson@myscu.edu,Jesse,Benson,"DATA219,DATA207,DATA204,DATA203"
jasmine.brown@myscu.edu,Jasmine,Brown,DATA208
rick.daniels@myscu.edu,Rick,Daniels,DATA215
robert.clark@myscu.edu,Robert,Clark,"DATA203,DATA214,DATA216,DATA219"
robert.stein@myscu.edu,Robert,Stein,"DATA203,DATA206,DATA207,DATA202"
brandy.dominguez@myscu.edu,Brandy,Dominguez,"DATA207,DATA215"
melissa.cannon@myscu.edu,Melissa,Cannon,"DATA213,DATA204"
omar.smith@myscu.edu,Omar,Smith,DATA207
michael.molina@myscu.edu,Michael,Molina,"DATA207,DATA202,DATA218"
melissa.ashley@myscu.edu,Melissa,Ashley,"DATA214,DATA216,DATA215,DATA212"
robert.adkins@myscu.edu,Robert,Adkins,DATA219
amy.morrison@myscu.edu,Amy,Morrison,"DATA205,DATA216,DATA213"
jeffrey.robinson@myscu.edu,Jeffrey,Robinson,"DATA205,DATA219,DATA206"
ryan.johnson@myscu.edu,Ryan,Johnson,DATA207
matthew.shelton@myscu.edu,Matthew,Shelton,DATA208
richard.martin@myscu.edu,Richard,Martin,"DATA203,DATA213,DATA219"
tanner.anderson@myscu.edu,Tanner,Anderson,"DATA204,DATA216,DATA207"
cindy.johnson@myscu.edu,Cindy,Johnson,"DATA207,DATA215,DATA218"
phillip.elliott@myscu.edu,Phillip,Elliott,"DATA209,DATA203"
anthony.day@myscu.edu,Anthony,Day,"DATA213,DATA206,DATA212"
derek.murray@myscu.edu,Derek,Murray,"DATA218,DATA219,DATA211"
brent.gray@myscu.edu,Brent,Gray,DATA219
jason.murphy@myscu.edu,Jason,Murphy,DATA212
kathleen.gray@myscu.edu,Kathleen,Gray,"DATA214,DATA219,DATA202"
karen.decker@myscu.edu,Karen,Decker,DATA206
johnny.miller@myscu.edu,Johnny,Miller,"DATA207,DATA218,DATA209,DATA203,DATA219"
andrew.ryan@myscu.edu,Andrew,Ryan,"DATA203,DATA207"
zoe.bell@myscu.edu,Zoe,Bell,"DATA202,DATA216,DATA215"
debra.harrington@myscu.edu,Debra,Harrington,DATA213
denise.webster@myscu.edu,Denise,Webster,"DATA214,DATA204,DATA213,DATA206,DATA205"
stefanie.gonzalez@myscu.edu,Stefanie,Gonzalez,"DATA214,DATA206"
andrew.hernandez@myscu.edu,Andrew,Hernandez,"DATA204,DATA219,DATA216,DATA202"
david.caldwell@myscu.edu,David,Caldwell,"DATA212,DATA214"
anne.robinson@myscu.edu,Anne,Robinson,DATA219
holly.wang@myscu.edu,Holly,Wang,"DATA212,DATA202,DATA219,DATA208"
gary.lawson@myscu.edu,Gary,Lawson,
julie.wilson@myscu.edu,Julie,Wilson,"DATA204,DATA216"
lori.oconnell@myscu.edu,Lori,Oconnell,"DATA208,DATA213,DATA211"
daniel.johnson@myscu.edu,Daniel,Johnson,"DATA206,DATA207,DATA215"
larry.byrd@myscu.edu,Larry,Byrd,"DATA215,DATA213,DATA219"
susan.sanders@myscu.edu,Susan,Sanders,"DATA213,DATA203,DATA219,DATA204"
jennifer.jones@myscu.edu,Jennifer,Jones,DATA216
hannah.burton@myscu.edu,Hannah,Burton,
curtis.barton@myscu.edu,Curtis,Barton,
melissa.burke@myscu.edu,Melissa,Burke,"DATA206,DATA211,DATA212"
david.riggs@myscu.edu,David,Riggs,"DATA215,DATA202,DATA212,DATA204"
kimberly.reed@myscu.edu,Kimberly,Reed,"DATA216,DATA202,DATA206"
ross.wood@myscu.edu,Ross,Wood,DATA219
william.peterson@myscu.edu,William,Peterson,"DATA212,DATA206"
melissa.short@myscu.edu,Melissa,Short,"DATA214,DATA211"
daniel.yu@myscu.edu,Daniel,Yu,DATA219
cynthia.poole@myscu.edu,Cynthia,Poole,"DATA206,DATA216,DATA205"
jasmine.graham@myscu.edu,Jasmine,Graham,"DATA211,DATA218,DATA203,DATA215"
jessica.sheppard@myscu.edu,Jessica,Sheppard,"DATA204,DATA213"
joseph.morton@myscu.edu,Joseph,Morton,"DATA202,DATA206,DATA216,DATA208,DATA209"
amanda.webb@myscu.edu,Amanda,Webb,DATA219
ryan.simon@myscu.edu,Ryan,Simon,DATA212
joseph.christian@myscu.edu,Joseph,Christian,"DATA205,DATA209"
mariah.miller@myscu.edu,Mariah,Miller,"DATA212,DATA216,DATA214,DATA206"
nicole.sanchez@myscu.edu,Nicole,Sanchez,"DATA206,DATA209,DATA207"
steven.bishop@myscu.edu,Steven,Bishop,"DATA206,DATA216,DATA204"
nicholas.johnson@myscu.edu,Nicholas,Johnson,"DATA206,DATA207,DATA203,DATA216,DATA218"
melissa.white@myscu.edu,Melissa,White,"DATA211,DATA219,DATA203"
jason.salinas@myscu.edu,Jason,Salinas,DATA212
matthew.beard@myscu.edu,Matthew,Beard,DATA208
jacqueline.hill@myscu.edu,Jacqueline,Hill,"DATA207,DATA214"
alejandro.vaughan@myscu.edu,Alejandro,Vaughan,"DATA209,DATA216,DATA211,DATA202"
christopher.cortez@myscu.edu,Christopher,Cortez,"DATA207,DATA209,DATA218"
tracy.chang@myscu.edu,Tracy,Chang,DATA212
hannah.brewer@myscu.edu,Hannah,Brewer,"DATA219,DATA208,DATA218,DATA205"
travis.mcguire@myscu.edu,Travis,Mcguire,"DATA215,DATA219,DATA218,DATA213"
christopher.walker@myscu.edu,Christopher,Walker,"DATA218,DATA212,DATA209,DATA214"
heather.torres@myscu.edu,Heather,Torres,DATA218
bonnie.kennedy@myscu.edu,Bonnie,Kennedy,"DATA207,DATA209,DATA204,DATA211"
alyssa.coleman@myscu.edu,Alyssa,Coleman,"DATA202,DATA212,DATA218,DATA207,DATA204"
julie.rivera@myscu.edu,Julie,Rivera,"DATA214,DATA218,DATA203"
jacqueline.nelson@myscu.edu,Jacqueline,Nelson,DATA216
john.martinez@myscu.edu,John,Martinez,"DATA212,DATA218,DATA206"
james.wilson@myscu.edu,James,Wilson,"DATA218,DATA206"
amanda.gill@myscu.edu,Amanda,Gill,DATA211
jacob.robinson@myscu.edu,Jacob,Robinson,"DATA211,DATA207"
todd.hardy@myscu.edu,Todd,Hardy,"DATA212,DATA204,DATA213"
tiffany.warren@myscu.edu,Tiffany,Warren,DATA218
justin.garcia@myscu.edu,Justin,Garcia,"DATA215,DATA219"
james.perez@myscu.edu,James,Perez,"DATA213,DATA204,DATA212,DATA203"
harry.smith@myscu.edu,Harry,Smith,"DATA214,DATA213"
amanda.hill@myscu.edu,Amanda,Hill,"DATA213,DATA206"
terri.tran@myscu.edu,Terri,Tran,"DATA202,DATA207"
heidi.martinez@myscu.edu,Heidi,Martinez,"DATA213,DATA219,DATA207,DATA211"
miranda.henry@myscu.edu,Miranda,Henry,"DATA208,DATA216"
monique.andrews@myscu.edu,Monique,Andrews,DATA211
taylor.alexander@myscu.edu,Taylor,Alexander,DATA207
jack.williams@myscu.edu,Jack,Williams,"DATA208,DATA211"
shelley.woods@myscu.edu,Shelley,Woods,"DATA211,DATA203,DATA204,DATA213"
lynn.morales@myscu.edu,Lynn,Morales,DATA208
charles.soto@myscu.edu,Charles,Soto,"DATA215,DATA212"
brian.hernandez@myscu.edu,Brian,Hernandez,"DATA205,DATA211,DATA204,DATA213"
anna.torres@myscu.edu,Anna,Torres,"DATA205,DATA202"
victoria.wilson@myscu.edu,Victoria,Wilson,"DATA207,DATA218,DATA212,DATA211"
kathy.obrien@myscu.edu,Kathy,Obrien,"DATA218,DATA202,DATA206"
krystal.perez@myscu.edu,Krystal,Perez,"DATA216,DATA215,DATA213,DATA203,DATA204"
alexandra.hayes@myscu.edu,Alexandra,Hayes,"DATA219,DATA216"
scott.dalton@myscu.edu,Scott,Dalton,"DATA216,DATA218"
veronica.torres@myscu.edu,Veronica,Torres,DATA206
christine.lynch@myscu.edu,Christine,Lynch,"DATA206,DATA208"
jody.meza@myscu.edu,Jody,Meza,"DATA212,DATA204,DATA207"
jared.clark@myscu.edu,Jared,Clark,"DATA211,DATA209,DATA216,DATA208"
donna.moore@myscu.edu,Donna,Moore,
glenn.jones@myscu.edu,Glenn,Jones,"DATA207,DATA215"
aaron.hayes@myscu.edu,Aaron,Hayes,DATA202
brittney.carter@myscu.edu,Brittney,Carter,DATA205
jesse.mann@myscu.edu,Jesse,Mann,"DATA202,DATA213,DATA212,DATA218,DATA208,DATA215"
jacqueline.gibson@myscu.edu,Jacqueline,Gibson,DATA219
grace.bradshaw@myscu.edu,Grace,Bradshaw,
kristin.weber@myscu.edu,Kristin,Weber,"DATA216,DATA206,DATA202"
donna.peck@myscu.edu,Donna,Peck,DATA208
ronald.stephens@myscu.edu,Ronald,Stephens,"DATA202,DATA219"
deborah.kerr@myscu.edu,Deborah,Kerr,DATA216
margaret.jones@myscu.edu,Margaret,Jones,DATA208
gabriel.parker@myscu.edu,Gabriel,Parker,"DATA214,DATA216,DATA208"
kaitlyn.carroll@myscu.edu,Kaitlyn,Carroll,DATA204
keith.martinez@myscu.edu,Keith,Martinez,"DATA209,DATA219,DATA202"
haley.lyons@myscu.edu,Haley,Lyons,"DATA204,DATA214"
sherri.mason@myscu.edu,Sherri,Mason,"DATA213,DATA205,DATA216,DATA206"
troy.miller@myscu.edu,Troy,Miller,"DATA208,DATA214,DATA213,DATA204"
bill.reynolds@myscu.edu,Bill,Reynolds,"DATA205,DATA207,DATA208"
marcus.wright@myscu.edu,Marcus,Wright,"DATA207,DATA215,DATA208"
christopher.hayden@myscu.edu,Christopher,Hayden,"DATA213,DATA214,DATA209,DATA212"
mary.johnston@myscu.edu,Mary,Johnston,DATA209
stephanie.key@myscu.edu,Stephanie,Key,"DATA205,DATA204,DATA212,DATA213"
emily.adams@myscu.edu,Emily,Adams,"DATA216,DATA219"
billy.avila@myscu.edu,Billy,Avila,"DATA202,DATA211"
thomas.pearson@myscu.edu,Thomas,Pearson,DATA207
sabrina.white@myscu.edu,Sabrina,White,"DATA202,DATA215,DATA218,DATA212"
brenda.walters@myscu.edu,Brenda,Walters,DATA219
travis.davis@myscu.edu,Travis,Davis,DATA218
michael.cook@myscu.edu,Michael,Cook,"DATA218,DATA202,DATA208,DATA212"
elizabeth.hodge@myscu.edu,Elizabeth,Hodge,"DATA205,DATA208,DATA202,DATA206"
mark.steele@myscu.edu,Mark,Steele,"DATA209,DATA206"
keith.landry@myscu.edu,Keith,Landry,"DATA207,DATA202,DATA204"
lisa.pierce@myscu.edu,Lisa,Pierce,"DATA215,DATA211,DATA205"
shawn.edwards@myscu.edu,Shawn,Edwards,"DATA213,DATA211"
marcus.cordova@myscu.edu,Marcus,Cordova,"DATA205,DATA203,DATA214"
richard.robertson@myscu.edu,Richard,Robertson,DATA207
vanessa.sandoval@myscu.edu,Vanessa,Sandoval,"DATA206,DATA205"
amy.gutierrez@myscu.edu,Amy,Gutierrez,DATA206
jacob.cox@myscu.edu,Jacob,Cox,DATA219
katherine.garrett@myscu.edu,Katherine,Garrett,"DATA202,DATA205,DATA212,DATA203"
kathleen.harris@myscu.edu,Kathleen,Harris,"DATA202,DATA213"
andrea.pennington@myscu.edu,Andrea,Pennington,"DATA203,DATA216"
samuel.wolfe@myscu.edu,Samuel,Wolfe,"DATA208,DATA204,DATA214"
david.dudley@myscu.edu,David,Dudley,"DATA205,DATA218,DATA211"
chelsea.allen@myscu.edu,Chelsea,Allen,"DATA203,DATA206,DATA218"
eric.pierce@myscu.edu,Eric,Pierce,"DATA203,DATA202,DATA209"
andrea.davis@myscu.edu,Andrea,Davis,"DATA214,DATA208,DATA218"
victoria.durham@myscu.edu,Victoria,Durham,
steven.wilson@myscu.edu,Steven,Wilson,"DATA211,DATA218"
marilyn.jimenez@myscu.edu,Marilyn,Jimenez,"DATA205,DATA204"
jennifer.hicks@myscu.edu,Jennifer,Hicks,"DATA204,DATA209,DATA216"
joshua.davenport@myscu.edu,Joshua,Davenport,
